=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     letter
Instances:    16000
Attributes:   17
              x-box
              y-box
              width
              high
              onpix
              x-bar
              y-bar
              x2bar
              y2bar
              xybar
              x2ybr
              xy2br
              x-ege
              xegvy
              y-ege
              yegvx
              class
Test mode:    10-fold cross-validation

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 9.4 seconds

=== Predictions on test data ===

    inst#     actual  predicted error prediction
      176       15:O       15:O       0.98 
      177       15:O       15:O       0.49 
      178       15:O       15:O       0.94 
      179       15:O       15:O       0.99 
      180       15:O       15:O       0.42 
      181       15:O       15:O       0.26 
      182       15:O       15:O       0.53 
      183       15:O       15:O       0.69 
      184       15:O       15:O       0.9 
      185       15:O       15:O       0.93 
      186        6:F        6:F       0.92 
      187        6:F        6:F       0.85 
      188        6:F        6:F       0.81 
      189        6:F        6:F       0.97 
      190        6:F       16:P   +   0.5 
      191        6:F       20:T   +   0.66 
      192        6:F        6:F       0.98 
      193        6:F        2:B   +   0.32 
      194        6:F        6:F       0.99 
      195        6:F        6:F       0.82 
      196        6:F        6:F       0.99 
      197        6:F        6:F       0.79 
      198        6:F        6:F       0.95 
      199        6:F        6:F       0.59 
      200        6:F        6:F       0.84 
      201        6:F        6:F       0.99 
      202        6:F        6:F       0.99 
      203        6:F        8:H   +   0.26 
      204        6:F        6:F       0.67 
      205        6:F        6:F       0.67 
      206        6:F        6:F       0.81 
      207        6:F        6:F       0.89 
      208        6:F        6:F       0.62 
      209        6:F       25:Y   +   0.48 
      210        6:F        6:F       1 
      211        6:F        6:F       0.99 
      212        6:F       16:P   +   0.53 
      213        6:F        6:F       1 
      214        6:F        6:F       0.81 
      215        6:F        6:F       0.38 
      216        6:F        6:F       0.89 
      217        6:F        6:F       0.99 
      218        6:F        6:F       0.82 
      219        6:F        6:F       0.5 
      220        6:F        6:F       1 
      221        6:F        6:F       0.53 
      222        6:F        6:F       1 
      223        6:F        6:F       0.94 
      224        6:F        6:F       0.91 
      225        6:F        6:F       1 
      226        6:F        6:F       0.75 
      227        6:F        6:F       0.69 
      228        6:F        6:F       0.99 
      229        6:F        6:F       0.95 
      230        6:F        6:F       1 
      231        6:F        6:F       1 
      232        6:F        6:F       0.87 
      233        6:F        6:F       0.77 
      234        6:F        6:F       1 
      235        6:F        6:F       0.5 
      236        6:F        6:F       0.9 
      237        6:F        6:F       0.95 
      238        6:F       16:P   +   0.54 
      239        6:F        6:F       0.91 
      240        6:F        6:F       1 
      241        6:F        6:F       0.98 
      242        6:F       13:M   +   0.41 
      243        6:F        6:F       0.67 
      244        6:F        6:F       0.51 
      245        6:F        6:F       0.56 
      246        6:F        6:F       0.97 
      247        6:F        6:F       0.99 
      248       12:L       12:L       1 
      249       12:L       12:L       1 
      250       12:L       12:L       1 
      251       12:L       12:L       0.96 
      252       12:L       12:L       1 
      253       12:L       12:L       1 
      254       12:L       12:L       1 
      255       12:L       12:L       0.99 
      256       12:L       12:L       1 
      257       12:L       12:L       1 
      258       12:L       12:L       1 
      259       12:L       12:L       0.96 
      260       12:L       12:L       0.98 
      261       12:L       12:L       0.99 
      262       12:L       12:L       1 
      263       12:L       12:L       0.99 
      264       12:L       12:L       0.71 
      265       12:L       12:L       1 
      266       12:L       12:L       0.4 
      267       12:L       12:L       1 
      268       12:L       12:L       1 
      269       12:L       12:L       0.41 
      270       12:L       12:L       0.68 
      271       12:L       12:L       1 
      272       12:L       12:L       1 
      273       12:L       12:L       1 
      274       12:L       12:L       1 
      275       12:L       12:L       1 
      276       12:L       12:L       0.44 
      277       12:L       12:L       0.23 
      278       12:L       12:L       0.73 
      279       12:L       12:L       0.98 
      280       12:L       12:L       0.95 
      281       12:L       12:L       1 
      282       12:L       12:L       1 
      283       12:L       12:L       0.81 
      284       12:L       12:L       1 
      285       12:L       12:L       1 
      286       12:L       12:L       1 
      287       12:L       12:L       0.97 
      288       12:L       12:L       0.55 
      289       12:L       12:L       0.99 
      290       12:L       12:L       1 
      291       12:L       12:L       1 
      292       12:L       12:L       0.98 
      293       12:L       12:L       1 
      294       12:L       12:L       1 
      295       12:L       12:L       0.99 
      296       12:L       12:L       0.99 
      297       12:L       12:L       1 
      298       12:L       12:L       0.86 
      299       12:L       12:L       0.99 
      300       12:L       12:L       0.64 
      301       12:L       12:L       0.98 
      302       12:L       12:L       1 
      303       12:L       12:L       0.42 
      304       12:L       12:L       1 
      305       12:L       12:L       1 
      306       12:L       12:L       1 
      307       12:L       12:L       0.68 
      308       23:W       23:W       1 
      309       23:W       23:W       1 
      310       23:W       23:W       1 
      311       23:W       23:W       1 
      312       23:W       23:W       0.8 
      313       23:W       23:W       0.94 
      314       23:W       23:W       0.97 
      315       23:W       23:W       1 
      316       23:W       23:W       0.99 
      317       23:W       23:W       1 
      318       23:W       23:W       0.94 
      319       23:W       23:W       1 
      320       23:W       23:W       0.98 
      321       23:W       23:W       1 
      322       23:W       23:W       1 
      323       23:W       23:W       1 
      324       23:W       23:W       0.99 
      325       23:W       23:W       1 
      326       23:W       23:W       0.98 
      327       23:W       23:W       1 
      328       23:W       23:W       0.99 
      329       23:W       23:W       1 
      330       23:W       23:W       0.84 
      331       23:W       23:W       0.96 
      332       23:W       23:W       0.97 
      333       23:W       23:W       0.99 
      334       23:W       23:W       0.99 
      335       23:W       23:W       1 
      336       23:W       23:W       1 
      337       23:W       23:W       0.63 
      338       23:W       23:W       1 
      339       23:W       23:W       0.24 
      340       23:W       23:W       1 
      341       23:W       23:W       1 
      342       23:W       23:W       0.93 
      343       23:W       23:W       0.94 
      344       23:W       23:W       0.99 
      345       23:W       23:W       0.45 
      346       23:W       23:W       0.7 
      347       23:W       23:W       0.6 
      348       23:W       23:W       0.72 
      349       23:W       23:W       0.74 
      350       23:W       23:W       0.99 
      351       23:W       23:W       0.9 
      352       23:W       23:W       1 
      353       23:W       23:W       0.95 
      354       23:W       23:W       1 
      355       23:W       23:W       0.77 
      356       23:W       23:W       1 
      357       23:W       23:W       0.92 
      358       23:W       23:W       1 
      359       23:W       23:W       0.69 
      360       23:W       23:W       1 
      361       23:W       23:W       0.44 
      362       23:W       23:W       1 
      363       23:W       23:W       0.91 
      364       23:W       23:W       0.98 
      365       23:W       23:W       0.86 
      366       23:W       23:W       0.99 
      367       23:W       23:W       1 
      368       23:W       23:W       1 
      369        3:C        3:C       0.85 
      370        3:C        3:C       0.74 
      371        3:C        3:C       0.53 
      372        3:C        3:C       0.98 
      373        3:C        3:C       0.92 
      374        3:C        3:C       0.98 
      375        3:C        3:C       0.97 
      376        3:C        3:C       0.87 
      377        3:C        3:C       1 
      378        3:C        3:C       0.71 
      379        3:C        3:C       0.41 
      380        3:C        3:C       1 
      381        3:C        3:C       0.96 
      382        3:C        3:C       0.39 
      383        3:C        3:C       0.33 
      384        3:C        3:C       0.95 
      385        3:C        3:C       0.99 
      386        3:C        3:C       0.97 
      387        3:C        3:C       0.99 
      388        3:C        3:C       0.52 
      389        3:C        3:C       0.99 
      390        3:C        3:C       0.93 
      391        3:C        3:C       0.97 
      392        3:C        3:C       0.45 
      393        3:C        3:C       0.84 
      394        3:C        7:G   +   0.54 
      395        3:C        3:C       0.99 
      396        3:C        3:C       0.69 
      397        3:C        3:C       1 
      398        3:C       11:K   +   0.28 
      399        3:C        3:C       0.71 
      400        3:C        3:C       0.92 
      401        3:C        3:C       1 
      402        3:C        3:C       1 
      403        3:C        3:C       1 
      404        3:C        3:C       0.55 
      405        3:C        3:C       1 
      406        3:C        3:C       0.26 
      407        3:C        3:C       1 
      408        3:C        3:C       1 
      409        3:C       18:R   +   0.44 
      410        3:C        3:C       0.69 
      411        3:C        3:C       0.65 
      412        3:C        3:C       0.98 
      413        3:C        3:C       1 
      414        3:C        3:C       0.74 
      415        3:C       15:O   +   0.22 
      416        3:C        3:C       0.98 
      417        3:C        3:C       1 
      418        3:C        3:C       0.89 
      419        3:C        3:C       1 
      420        3:C        3:C       0.9 
      421        3:C        3:C       0.62 
      422        3:C        3:C       0.97 
      423        3:C        3:C       1 
      424        3:C        3:C       0.96 
      425        3:C        3:C       0.87 
      426        3:C        3:C       0.99 
      427        3:C        3:C       0.77 
      428       24:X       24:X       0.42 
      429       24:X       24:X       0.82 
      430       24:X       24:X       0.78 
      431       24:X       24:X       0.88 
      432       24:X       24:X       0.88 
      433       24:X       24:X       0.76 
      434       24:X       24:X       1 
      435       24:X       24:X       0.44 
      436       24:X       24:X       0.93 
      437       24:X       24:X       1 
      438       24:X       24:X       1 
      439       24:X       24:X       0.97 
      440       24:X       24:X       0.56 
      441       24:X       24:X       1 
      442       24:X       24:X       0.77 
      443       24:X       24:X       1 
      444       24:X       24:X       1 
      445       24:X       24:X       0.94 
      446       24:X       24:X       0.95 
      447       24:X       24:X       0.81 
      448       24:X       24:X       0.32 
      449       24:X       24:X       0.98 
      450       24:X       24:X       0.96 
      451       24:X       24:X       0.96 
      452       24:X       24:X       0.93 
      453       24:X       24:X       0.83 
      454       24:X       24:X       1 
      455       24:X       24:X       0.63 
      456       24:X       24:X       1 
      457       24:X       24:X       1 
      458       24:X       24:X       0.49 
      459       24:X       24:X       0.49 
      460       24:X       24:X       0.99 
      461       24:X       24:X       1 
      462       24:X       24:X       0.54 
      463       24:X       24:X       0.97 
      464       24:X       24:X       1 
      465       24:X       24:X       0.22 
      466       24:X       24:X       0.85 
      467       24:X       24:X       0.67 
      468       24:X       24:X       0.94 
      469       24:X       24:X       1 
      470       24:X       24:X       0.94 
      471       24:X       24:X       0.39 
      472       24:X       24:X       0.98 
      473       24:X       24:X       0.71 
      474       24:X       24:X       1 
      475       24:X       24:X       0.7 
      476       24:X       24:X       1 
      477       24:X       24:X       0.99 
      478       24:X       24:X       1 
      479       24:X       24:X       0.34 
      480       24:X       24:X       0.89 
      481       24:X       24:X       0.85 
      482       24:X       24:X       0.63 
      483       24:X       24:X       0.93 
      484       24:X       24:X       0.99 
      485       24:X       24:X       1 
      486       24:X       24:X       0.46 
      487       24:X       24:X       0.8 
      488       24:X       24:X       0.49 
      489       24:X       24:X       0.82 
      490       19:S       19:S       1 
      491       19:S       19:S       0.99 
      492       19:S       19:S       0.8 
      493       19:S        4:D   +   0.24 
      494       19:S       19:S       0.51 
      495       19:S       19:S       0.93 
      496       19:S       19:S       0.99 
      497       19:S       19:S       0.91 
      498       19:S       19:S       0.71 
      499       19:S       19:S       0.98 
      500       19:S       19:S       0.97 
      501       19:S       19:S       0.98 
      502       19:S       19:S       0.18 
      503       19:S       19:S       0.56 
      504       19:S       19:S       0.85 
      505       19:S        2:B   +   0.59 
      506       19:S       19:S       0.79 
      507       19:S       19:S       0.99 
      508       19:S       19:S       0.88 
      509       19:S       19:S       0.64 
      510       19:S       19:S       0.99 
      511       19:S       19:S       0.24 
      512       19:S       19:S       0.69 
      513       19:S       19:S       0.95 
      514       19:S       19:S       0.48 
      515       19:S       19:S       0.51 
      516       19:S       19:S       0.41 
      517       19:S       19:S       0.76 
      518       19:S       19:S       0.63 
      519       19:S       19:S       0.78 
      520       19:S       19:S       0.72 
      521       19:S       19:S       0.6 
      522       19:S       19:S       0.43 
      523       19:S       19:S       0.87 
      524       19:S       19:S       0.73 
      525       19:S       19:S       0.8 
      526       19:S       19:S       0.75 
      527       19:S       19:S       0.46 
      528       19:S       19:S       0.75 
      529       19:S       19:S       0.5 
      530       19:S       19:S       0.76 
      531       19:S       19:S       0.62 
      532       19:S       19:S       0.44 
      533       19:S       19:S       0.18 
      534       19:S       19:S       0.98 
      535       19:S       19:S       0.95 
      536       19:S       19:S       0.98 
      537       19:S       19:S       0.99 
      538       19:S       19:S       1 
      539       19:S       19:S       0.87 
      540       19:S       19:S       0.73 
      541       19:S       19:S       1 
      542       19:S       19:S       0.35 
      543       19:S       19:S       0.21 
      544       19:S       19:S       0.53 
      545       19:S       19:S       0.87 
      546       19:S       19:S       0.94 
      547       19:S       19:S       0.63 
      548       19:S       19:S       0.99 
      549       19:S       19:S       0.28 
      550        5:E        5:E       0.38 
      551        5:E        5:E       1 
      552        5:E        5:E       1 
      553        5:E        5:E       0.73 
      554        5:E        5:E       0.62 
      555        5:E        5:E       0.95 
      556        5:E        5:E       1 
      557        5:E        5:E       0.41 
      558        5:E        5:E       1 
      559        5:E        5:E       0.97 
      560        5:E        5:E       0.48 
      561        5:E        5:E       1 
      562        5:E        5:E       0.62 
      563        5:E        5:E       0.36 
      564        5:E        5:E       0.98 
      565        5:E        5:E       0.93 
      566        5:E        5:E       0.89 
      567        5:E        5:E       0.72 
      568        5:E        5:E       0.93 
      569        5:E        5:E       1 
      570        5:E        5:E       1 
      571        5:E        5:E       0.94 
      572        5:E        5:E       1 
      573        5:E        5:E       0.79 
      574        5:E        5:E       0.52 
      575        5:E        5:E       0.4 
      576        5:E        5:E       0.9 
      577        5:E        5:E       0.86 
      578        5:E        5:E       0.86 
      579        5:E        5:E       0.65 
      580        5:E        5:E       0.98 
      581        5:E        5:E       0.87 
      582        5:E        5:E       1 
      583        5:E        5:E       0.42 
      584        5:E        5:E       0.93 
      585        5:E        5:E       0.66 
      586        5:E        5:E       1 
      587        5:E        5:E       1 
      588        5:E        5:E       1 
      589        5:E        5:E       0.68 
      590        5:E        5:E       0.56 
      591        5:E        5:E       0.69 
      592        5:E        5:E       1 
      593        5:E        5:E       0.92 
      594        5:E        5:E       1 
      595        5:E        5:E       0.56 
      596        5:E        5:E       0.95 
      597        5:E        5:E       0.99 
      598        5:E        5:E       0.54 
      599        5:E        5:E       0.74 
      600        5:E        5:E       1 
      601        5:E        5:E       0.56 
      602        5:E        5:E       0.46 
      603        5:E        5:E       0.73 
      604        5:E        5:E       0.96 
      605        5:E        5:E       0.44 
      606        5:E        5:E       0.71 
      607        5:E        5:E       1 
      608        5:E        5:E       1 
      609        5:E        5:E       0.96 
      610        5:E        5:E       1 
      611       26:Z       26:Z       1 
      612       26:Z       26:Z       1 
      613       26:Z       26:Z       1 
      614       26:Z       26:Z       0.99 
      615       26:Z       26:Z       0.73 
      616       26:Z       26:Z       0.36 
      617       26:Z       26:Z       0.37 
      618       26:Z       26:Z       1 
      619       26:Z       26:Z       0.64 
      620       26:Z       26:Z       1 
      621       26:Z       26:Z       1 
      622       26:Z       26:Z       0.92 
      623       26:Z       26:Z       1 
      624       26:Z       26:Z       1 
      625       26:Z       26:Z       1 
      626       26:Z       26:Z       1 
      627       26:Z       26:Z       0.95 
      628       26:Z       26:Z       0.99 
      629       26:Z       26:Z       1 
      630       26:Z       26:Z       0.88 
      631       26:Z       26:Z       0.96 
      632       26:Z       26:Z       0.76 
      633       26:Z       26:Z       0.99 
      634       26:Z       26:Z       0.96 
      635       26:Z       26:Z       0.91 
      636       26:Z       26:Z       0.75 
      637       26:Z       26:Z       1 
      638       26:Z       26:Z       0.24 
      639       26:Z       26:Z       0.84 
      640       26:Z       26:Z       1 
      641       26:Z       26:Z       0.63 
      642       26:Z       26:Z       1 
      643       26:Z       26:Z       0.97 
      644       26:Z       26:Z       0.74 
      645       26:Z       26:Z       0.56 
      646       26:Z       26:Z       1 
      647       26:Z       26:Z       0.28 
      648       26:Z       26:Z       0.7 
      649       26:Z       26:Z       1 
      650       26:Z       26:Z       0.83 
      651       26:Z       26:Z       0.97 
      652       26:Z       26:Z       0.93 
      653       26:Z       26:Z       0.22 
      654       26:Z       26:Z       1 
      655       26:Z       26:Z       1 
      656       26:Z       26:Z       0.97 
      657       26:Z       26:Z       0.67 
      658       26:Z       26:Z       1 
      659       26:Z       26:Z       1 
      660       26:Z       26:Z       1 
      661       26:Z       26:Z       0.9 
      662       26:Z       26:Z       0.47 
      663       26:Z       26:Z       1 
      664       26:Z       26:Z       0.99 
      665       26:Z       26:Z       0.52 
      666       26:Z       26:Z       0.98 
      667       26:Z       26:Z       1 
      668       26:Z       26:Z       0.92 
      669       26:Z       26:Z       1 
      670        7:G        7:G       0.97 
      671        7:G        7:G       0.81 
      672        7:G        7:G       1 
      673        7:G        7:G       0.88 
      674        7:G        7:G       1 
      675        7:G        7:G       0.27 
      676        7:G        7:G       0.44 
      677        7:G        7:G       0.53 
      678        7:G        7:G       0.52 
      679        7:G        2:B   +   0.34 
      680        7:G        7:G       0.88 
      681        7:G        7:G       0.94 
      682        7:G        7:G       0.81 
      683        7:G        7:G       0.89 
      684        7:G        7:G       0.73 
      685        7:G        7:G       0.82 
      686        7:G        1:A   +   0.44 
      687        7:G        7:G       0.87 
      688        7:G       17:Q   +   0.28 
      689        7:G        7:G       0.76 
      690        7:G        7:G       0.98 
      691        7:G        7:G       0.65 
      692        7:G        7:G       0.77 
      693        7:G        7:G       0.75 
      694        7:G        7:G       0.95 
      695        7:G        7:G       0.86 
      696        7:G        7:G       0.95 
      697        7:G        7:G       0.59 
      698        7:G        7:G       0.63 
      699        7:G        7:G       0.51 
      700        7:G        7:G       0.9 
      701        7:G        7:G       0.7 
      702        7:G        7:G       0.85 
      703        7:G        7:G       0.5 
      704        7:G        7:G       0.94 
      705        7:G        7:G       1 
      706        7:G        7:G       0.92 
      707        7:G        7:G       1 
      708        7:G        7:G       0.99 
      709        7:G        7:G       0.5 
      710        7:G        7:G       1 
      711        7:G        7:G       0.77 
      712        7:G        7:G       0.31 
      713        7:G        7:G       0.99 
      714        7:G        7:G       0.92 
      715        7:G        7:G       0.72 
      716        7:G        7:G       0.7 
      717        7:G        7:G       0.99 
      718        7:G        7:G       0.43 
      719        7:G        7:G       0.87 
      720        7:G        7:G       0.96 
      721        7:G        7:G       0.95 
      722        7:G        7:G       0.88 
      723        7:G        7:G       0.98 
      724        7:G        7:G       1 
      725        7:G        7:G       0.67 
      726        7:G        7:G       0.78 
      727        7:G        7:G       1 
      728       11:K       11:K       0.95 
      729       11:K       11:K       0.24 
      730       11:K       11:K       1 
      731       11:K       11:K       0.97 
      732       11:K       11:K       0.44 
      733       11:K       11:K       0.66 
      734       11:K       11:K       0.65 
      735       11:K       11:K       0.93 
      736       11:K       11:K       0.94 
      737       11:K       11:K       1 
      738       11:K       11:K       0.43 
      739       11:K       11:K       1 
      740       11:K       11:K       0.89 
      741       11:K       11:K       0.98 
      742       11:K       11:K       0.96 
      743       11:K       11:K       0.87 
      744       11:K       11:K       0.79 
      745       11:K       11:K       0.67 
      746       11:K       11:K       0.85 
      747       11:K       11:K       0.97 
      748       11:K       11:K       0.76 
      749       11:K       11:K       0.42 
      750       11:K       11:K       0.85 
      751       11:K       11:K       0.92 
      752       11:K       11:K       0.56 
      753       11:K       11:K       0.99 
      754       11:K       11:K       0.97 
      755       11:K       11:K       1 
      756       11:K       11:K       0.86 
      757       11:K       11:K       0.98 
      758       11:K       11:K       0.93 
      759       11:K       11:K       0.81 
      760       11:K       11:K       0.71 
      761       11:K       11:K       0.49 
      762       11:K       11:K       0.77 
      763       11:K       11:K       0.28 
      764       11:K       11:K       0.82 
      765       11:K       11:K       0.99 
      766       11:K       24:X   +   0.51 
      767       11:K       11:K       0.48 
      768       11:K       11:K       0.66 
      769       11:K       11:K       0.95 
      770       11:K       11:K       0.44 
      771       11:K       11:K       0.73 
      772       11:K       11:K       0.89 
      773       11:K       24:X   +   0.19 
      774       11:K       11:K       0.83 
      775       11:K       11:K       0.99 
      776       11:K       11:K       1 
      777       11:K       11:K       0.82 
      778       11:K       11:K       0.97 
      779       11:K       11:K       1 
      780       11:K       11:K       0.81 
      781       11:K       11:K       0.98 
      782       11:K       11:K       0.52 
      783       11:K       11:K       0.51 
      784       11:K       11:K       0.88 
      785       11:K       11:K       0.96 
      786       11:K       11:K       1 
      787       11:K       11:K       0.54 
      788       11:K       11:K       0.88 
      789        8:H        8:H       0.51 
      790        8:H        8:H       0.58 
      791        8:H        8:H       1 
      792        8:H        4:D   +   0.97 
      793        8:H        5:E   +   0.48 
      794        8:H        8:H       0.55 
      795        8:H        8:H       0.26 
      796        8:H        8:H       0.34 
      797        8:H        8:H       0.73 
      798        8:H        8:H       0.5 
      799        8:H        8:H       1 
      800        8:H        8:H       0.73 
      801        8:H        8:H       0.99 
      802        8:H        8:H       1 
      803        8:H        4:D   +   0.39 
      804        8:H       11:K   +   0.54 
      805        8:H       18:R   +   0.26 
      806        8:H        8:H       1 
      807        8:H        8:H       0.95 
      808        8:H        8:H       1 
      809        8:H        8:H       0.87 
      810        8:H        8:H       0.97 
      811        8:H        8:H       0.99 
      812        8:H        8:H       0.5 
      813        8:H        8:H       1 
      814        8:H       16:P   +   0.41 
      815        8:H        8:H       0.99 
      816        8:H        8:H       0.44 
      817        8:H        8:H       0.6 
      818        8:H        8:H       1 
      819        8:H        8:H       0.45 
      820        8:H        8:H       0.23 
      821        8:H        8:H       0.52 
      822        8:H        8:H       1 
      823        8:H        8:H       0.88 
      824        8:H        8:H       0.8 
      825        8:H        8:H       0.99 
      826        8:H        8:H       0.56 
      827        8:H        8:H       0.86 
      828        8:H        8:H       0.92 
      829        8:H        8:H       0.38 
      830        8:H        8:H       0.98 
      831        8:H        8:H       0.41 
      832        8:H        8:H       0.77 
      833        8:H        8:H       0.61 
      834        8:H        8:H       0.42 
      835        8:H        8:H       0.61 
      836        8:H        8:H       0.39 
      837        8:H        8:H       0.49 
      838        8:H        4:D   +   0.29 
      839        8:H        4:D   +   0.37 
      840        8:H        8:H       0.92 
      841        8:H        8:H       0.66 
      842        8:H       11:K   +   0.4 
      843        8:H       11:K   +   0.29 
      844        8:H        8:H       0.33 
      845        8:H        8:H       0.81 
      846       17:Q       17:Q       0.42 
      847       17:Q       17:Q       0.99 
      848       17:Q       17:Q       1 
      849       17:Q       17:Q       0.69 
      850       17:Q       17:Q       0.98 
      851       17:Q       17:Q       0.96 
      852       17:Q       17:Q       0.68 
      853       17:Q       17:Q       0.96 
      854       17:Q       17:Q       0.84 
      855       17:Q       17:Q       0.79 
      856       17:Q       17:Q       0.76 
      857       17:Q       17:Q       0.96 
      858       17:Q       17:Q       0.83 
      859       17:Q       17:Q       0.94 
      860       17:Q       17:Q       0.84 
      861       17:Q       17:Q       0.35 
      862       17:Q       17:Q       0.44 
      863       17:Q       17:Q       0.96 
      864       17:Q       17:Q       0.95 
      865       17:Q       17:Q       0.99 
      866       17:Q       17:Q       0.46 
      867       17:Q       15:O   +   0.67 
      868       17:Q       17:Q       0.75 
      869       17:Q       17:Q       0.31 
      870       17:Q       17:Q       0.92 
      871       17:Q       17:Q       0.76 
      872       17:Q       17:Q       0.33 
      873       17:Q       17:Q       0.66 
      874       17:Q       17:Q       0.94 
      875       17:Q       17:Q       0.46 
      876       17:Q       17:Q       0.96 
      877       17:Q       17:Q       0.54 
      878       17:Q       17:Q       1 
      879       17:Q       17:Q       1 
      880       17:Q       17:Q       0.49 
      881       17:Q       17:Q       0.99 
      882       17:Q       17:Q       0.94 
      883       17:Q       17:Q       0.96 
      884       17:Q       17:Q       0.39 
      885       17:Q       17:Q       0.55 
      886       17:Q       17:Q       0.69 
      887       17:Q       17:Q       0.98 
      888       17:Q       17:Q       0.61 
      889       17:Q       15:O   +   0.29 
      890       17:Q       17:Q       0.31 
      891       17:Q       17:Q       0.93 
      892       17:Q       17:Q       0.99 
      893       17:Q       17:Q       1 
      894       17:Q       17:Q       1 
      895       17:Q       17:Q       0.9 
      896       17:Q       17:Q       0.98 
      897       17:Q       17:Q       0.46 
      898       17:Q       17:Q       0.72 
      899       17:Q       17:Q       0.54 
      900       17:Q       17:Q       1 
      901       17:Q       17:Q       0.96 
      902       17:Q       17:Q       0.98 
      903       17:Q       17:Q       0.95 
      904       17:Q       17:Q       0.91 
      905       17:Q       17:Q       0.27 
      906       17:Q       17:Q       0.98 
      907       17:Q       17:Q       0.97 
      908       17:Q       17:Q       0.93 
      909       17:Q       17:Q       0.3 
      910        2:B        2:B       1 
      911        2:B        2:B       0.99 
      912        2:B        2:B       0.87 
      913        2:B        2:B       1 
      914        2:B        2:B       0.39 
      915        2:B        2:B       0.64 
      916        2:B        2:B       0.52 
      917        2:B        2:B       1 
      918        2:B        2:B       0.99 
      919        2:B        2:B       0.28 
      920        2:B        2:B       0.81 
      921        2:B        2:B       0.57 
      922        2:B        2:B       0.34 
      923        2:B        2:B       0.55 
      924        2:B        2:B       1 
      925        2:B        2:B       0.77 
      926        2:B        2:B       0.59 
      927        2:B        2:B       0.59 
      928        2:B        2:B       1 
      929        2:B        2:B       0.71 
      930        2:B        2:B       0.56 
      931        2:B        2:B       0.62 
      932        2:B        2:B       1 
      933        2:B        2:B       0.99 
      934        2:B        2:B       0.43 
      935        2:B       22:V   +   0.5 
      936        2:B        2:B       1 
      937        2:B        2:B       0.91 
      938        2:B        2:B       0.8 
      939        2:B        2:B       0.4 
      940        2:B        2:B       0.44 
      941        2:B        2:B       0.98 
      942        2:B        2:B       0.87 
      943        2:B        2:B       1 
      944        2:B        2:B       0.74 
      945        2:B       22:V   +   0.42 
      946        2:B        2:B       1 
      947        2:B        2:B       0.87 
      948        2:B        2:B       0.93 
      949        2:B        2:B       1 
      950        2:B        2:B       0.72 
      951        2:B        2:B       0.95 
      952        2:B        2:B       0.99 
      953        2:B        2:B       0.79 
      954        2:B        2:B       0.93 
      955        2:B        2:B       0.89 
      956        2:B        2:B       0.83 
      957        2:B        2:B       0.8 
      958        2:B        2:B       0.84 
      959        2:B        2:B       0.97 
      960        2:B        2:B       1 
      961        2:B       22:V   +   0.55 
      962        2:B       24:X   +   0.34 
      963        2:B        2:B       0.78 
      964        2:B        2:B       0.7 
      965        2:B        2:B       0.78 
      966        2:B        2:B       0.99 
      967        2:B        2:B       0.98 
      968        2:B        2:B       0.98 
      969        2:B        2:B       0.74 
      970       25:Y       25:Y       0.73 
      971       25:Y       25:Y       0.98 
      972       25:Y       25:Y       0.89 
      973       25:Y       25:Y       0.77 
      974       25:Y       25:Y       0.29 
      975       25:Y       25:Y       0.98 
      976       25:Y       25:Y       0.56 
      977       25:Y       25:Y       0.99 
      978       25:Y       25:Y       0.98 
      979       25:Y       25:Y       1 
      980       25:Y       25:Y       1 
      981       25:Y       25:Y       1 
      982       25:Y       25:Y       0.85 
      983       25:Y       25:Y       0.72 
      984       25:Y       25:Y       0.87 
      985       25:Y       25:Y       1 
      986       25:Y       25:Y       1 
      987       25:Y       25:Y       0.98 
      988       25:Y       25:Y       1 
      989       25:Y       25:Y       0.85 
      990       25:Y       25:Y       1 
      991       25:Y       25:Y       0.99 
      992       25:Y       25:Y       0.99 
      993       25:Y       25:Y       1 
      994       25:Y       25:Y       0.48 
      995       25:Y       25:Y       1 
      996       25:Y       25:Y       0.45 
      997       25:Y       25:Y       1 
      998       25:Y       25:Y       0.99 
      999       25:Y       25:Y       0.97 
     1000       25:Y       25:Y       0.72 
     1001       25:Y       25:Y       1 
     1002       25:Y       25:Y       0.57 
     1003       25:Y       25:Y       0.89 
     1004       25:Y       25:Y       0.59 
     1005       25:Y       25:Y       0.77 
     1006       25:Y       25:Y       1 
     1007       25:Y       25:Y       1 
     1008       25:Y       25:Y       0.97 
     1009       25:Y       25:Y       0.83 
     1010       25:Y       25:Y       0.61 
     1011       25:Y       25:Y       1 
     1012       25:Y       13:M   +   0.23 
     1013       25:Y       25:Y       0.72 
     1014       25:Y       25:Y       0.99 
     1015       25:Y       25:Y       0.9 
     1016       25:Y       25:Y       0.72 
     1017       25:Y       25:Y       1 
     1018       25:Y       25:Y       0.99 
     1019       25:Y       25:Y       0.92 
     1020       25:Y       25:Y       1 
     1021       25:Y       25:Y       0.87 
     1022       25:Y       25:Y       0.97 
     1023       25:Y       25:Y       0.88 
     1024       25:Y       25:Y       0.99 
     1025       25:Y       25:Y       0.91 
